"tourney_id","tourney_name","winner_ioc","winner_age","score","minutes"
"2010-580","Australian Open","BEL",29.5,"6-2 7-6(5)",111
"2010-580","Australian Open","AUT",23.5,"6-2 6-7(3) 6-3",134
"2010-580","Australian Open","RSA",29.62,"3-6 6-3 6-2",96
"2010-580","Australian Open","NED",22.42,"6-2 6-2",74
"2010-580","Australian Open","ESP",24.22,"6-0 6-4",56
"2010-580","Australian Open","AUS",22.15,"6-2 6-1",52
"2010-580","Australian Open","POL",25.92,"6-3 6-4",81
"2010-580","Australian Open","ISR",31.76,"6-4 6-7(8) 6-4",165
"2010-580","Australian Open","BEL",25.85,"6-1 6-2",60
"2010-580","Australian Open","RSA",25.98,"6-3 4-6 6-0",112
"2010-580","Australian Open","FRA",29.82,"6-2 6-3",68
"2010-580","Australian Open","SLO",23.3,"7-6(4) 6-4",85
"2010-580","Australian Open","ESP",30.04,"6-1 6-4",69
"2010-580","Australian Open","GBR",19.66,"7-5 6-1",86
"2010-580","Australian Open","GER",25.59,"7-6(5) 6-7(4) 8-6",170
"2010-580","Australian Open","CRO",21.92,"6-4 6-3",88
"2010-580","Australian Open","USA",31.48,"6-4 6-4",74
"2010-580","Australian Open","NZL",25.68,"6-4 6-4",92
"2010-580","Australian Open","IRL",25.03,"7-6(6) 6-3",112
"2010-580","Australian Open","USA",29.05,"6-3 2-6 13-11",142
"2010-580","Australian Open","ESP",21.76,"6-4 6-4",74
"2010-580","Australian Open","FRA",21.92,"6-1 6-1",58
"2010-580","Australian Open","FRA",19.65,"7-6(4) 6-4",108
"2010-580","Australian Open","GER",25.11,"7-5 7-6(2)",86
"2010-580","Australian Open","GER",22.8,"6-4 3-6 7-5",145
"2010-580","Australian Open","BRA",24.71,"6-4 6-4",90
"2010-580","Australian Open","IRL",28.33,"6-4 6-4",70
"2010-580","Australian Open","USA",27.26,"6-3 6-2",65
"2010-580","Australian Open","GER",30.29,"4-6 7-5 6-4",134
"2010-580","Australian Open","USA",20.49,"7-5 6-0",67
"2010-580","Australian Open","PAR",33.18,"7-6(8) 6-4",93
"2010-580","Australian Open","JPN",33.33,"7-5 6-4",87
"2010-580","Australian Open","UKR",22.36,"6-7(9) 6-2 6-2",158
"2010-580","Australian Open","GBR",22.94,"6-4 6-4",69
"2010-580","Australian Open","AUS",20.6,"6-3 6-2",85
"2010-580","Australian Open","AUT",23.99,"4-6 6-3 7-5",118
"2010-580","Australian Open","POR",25.77,"7-5 6-2",74
"2010-580","Australian Open","RUS",26.74,"7-5 6-3",78
"2010-580","Australian Open","UKR",22,"3-6 6-4 6-3",124
"2010-580","Australian Open","FRA",29,"6-1 6-2",50
"2010-580","Australian Open","GER",26.5,"6-2 3-6 8-6",107
"2010-580","Australian Open","CRO",27.37,"6-3 6-2",83
"2010-580","Australian Open","ITA",29.89,"6-4 7-6(5)",111
"2010-580","Australian Open","RSA",23.67,"6-3 6-4",74
"2010-580","Australian Open","SLO",22.87,"6-7(4) 6-4 6-4",179
"2010-580","Australian Open","MNE",27.28,"6-4 0-6 6-3",113
"2010-580","Australian Open","GER",23.66,"6-4 4-6 6-2",128
"2010-580","Australian Open","IND",24.93,"6-2 6-1",54
"2010-580","Australian Open","AUS",35,"6-3 3-6 6-2",113
"2010-580","Australian Open","CZE",28.78,"3-6 6-3 6-3",110
"2010-580","Australian Open","ITA",22.06,"6-2 6-3",63
"2010-580","Australian Open","CRO",25.04,"6-4 6-2",82
"2010-580","Australian Open","FRA",27.11,"6-4 4-6 6-1",118
"2010-580","Australian Open","AUS",19.49,"6-7(0) 6-4 7-5",172
"2010-580","Australian Open","IND",26.3,"4-6 6-1 6-3",133
"2010-580","Australian Open","FRA",26.14,"5-7 6-4 6-2",125
"2010-580","Australian Open","AUT",33.04,"7-5 6-4",93
"2010-580","Australian Open","KOR",29.03,"6-2 7-6(4)",109
"2010-580","Australian Open","USA",22.52,"2-6 6-3 6-4",111
"2010-580","Australian Open","USA",30.18,"7-6(4) 3-6 6-3",110
"2010-580","Australian Open","FRA",25.52,"6-4 0-3 RET",47
"2010-580","Australian Open","GER",27.63,"6-2 6-1",62
"2010-580","Australian Open","GBR",25.66,"6-4 6-3",82
"2010-580","Australian Open","TUR",22.61,"6-1 6-2",59
"2010-580","Australian Open","BEL",29.5,"7-5 7-6(3)",103
"2010-580","Australian Open","RSA",29.62,"6-0 2-0 RET",30
"2010-580","Australian Open","AUS",22.15,"6-4 1-6 7-5",121
"2010-580","Australian Open","POL",25.92,"2-6 7-5 6-1",109
"2010-580","Australian Open","BEL",25.85,"6-2 6-0",43
"2010-580","Australian Open","SLO",23.3,"6-3 6-3",76
"2010-580","Australian Open","ESP",30.04,"6-1 6-2",51
"2010-580","Australian Open","CRO",21.92,"3-6 6-4 6-3",125
"2010-580","Australian Open","NZL",25.68,"6-4 6-3",71
"2010-580","Australian Open","IRL",25.03,"6-4 3-6 6-3",117
"2010-580","Australian Open","ESP",21.76,"6-3 6-3",68
"2010-580","Australian Open","FRA",19.65,"7-6(1) 6-7(7) 6-4",139
"2010-580","Australian Open","BRA",24.71,"6-4 2-6 7-5",130
"2010-580","Australian Open","IRL",28.33,"2-6 6-1 6-4",97
"2010-580","Australian Open","USA",20.49,"7-5 6-3",84
"2010-580","Australian Open","JPN",33.33,"3-6 7-6(4) 6-4",153
"2010-580","Australian Open","UKR",22.36,"6-3 6-4",92
"2010-580","Australian Open","AUS",20.6,"6-2 3-6 7-5",122
"2010-580","Australian Open","RUS",26.74,"6-3 7-5",95
"2010-580","Australian Open","UKR",22,"6-4 6-4",77
"2010-580","Australian Open","GER",26.5,"6-2 6-0",37
"2010-580","Australian Open","RSA",23.67,"6-4 6-4",76
"2010-580","Australian Open","SLO",22.87,"6-2 6-2",67
"2010-580","Australian Open","IND",24.93,"2-6 6-1 8-6",155
"2010-580","Australian Open","AUS",35,"1-6 7-5 6-4",119
"2010-580","Australian Open","CRO",25.04,"6-3 7-6(5)",105
"2010-580","Australian Open","FRA",27.11,"6-2 6-4",81
"2010-580","Australian Open","FRA",26.14,"7-5 6-4",85
"2010-580","Australian Open","AUT",33.04,"6-3 7-5",105
"2010-580","Australian Open","USA",22.52,"7-6(3) 6-4",81
"2010-580","Australian Open","GER",27.63,"2-6 6-4 11-9",149
"2010-580","Australian Open","TUR",22.61,"6-4 6-4",86
"2010-580","Australian Open","BEL",29.5,"6-1 4-6 7-5",124
"2010-580","Australian Open","AUS",22.15,"7-5 6-2",87
"2010-580","Australian Open","SLO",23.3,"1-6 6-3 10-8",136
"2010-580","Australian Open","CRO",21.92,"6-2 7-6(0)",98
"2010-580","Australian Open","IRL",25.03,"6-4 7-6(3)",109
"2010-580","Australian Open","FRA",19.65,"4-6 6-3 6-4",125
"2010-580","Australian Open","BRA",24.71,"1-6 6-4 6-3",119
"2010-580","Australian Open","USA",20.49,"7-6(0) 7-6(2)",90
"2010-580","Australian Open","UKR",22.36,"6-2 6-1",69
"2010-580","Australian Open","UKR",22,"7-6(10) 6-3",117
"2010-580","Australian Open","RSA",23.67,"6-2 6-4",72
"2010-580","Australian Open","SLO",22.87,"6-3 7-6(4)",141
"2010-580","Australian Open","CRO",25.04,"7-6(2) 6-2",99
"2010-580","Australian Open","FRA",27.11,"6-1 4-6 9-7",150
"2010-580","Australian Open","AUT",33.04,"6-4 6-7(5) 9-7",193
"2010-580","Australian Open","GER",27.63,"7-5 1-6 11-9",186
"2010-580","Australian Open","SUI",28.45,"4-6 6-2 7-6(2) 6-0",164
"2010-580","Australian Open","ROU",28.5,"6-4 6-3 7-6(2)",137
"2010-580","Australian Open","FRA",29.67,"6-3 7-6(2) 7-6(4)",143
"2010-580","Australian Open","ESP",29.14,"7-6(5) 2-2 RET",81
"2010-580","Australian Open","AUS",28.9,"6-1 6-2 6-3",100
"2010-580","Australian Open","USA",20.49,"1-6 7-5 6-2 6-4",175
"2010-580","Australian Open","CYP",24.59,"6-2 6-4 6-4",120
"2010-580","Australian Open","ESP",27.8,"6-0 6-0 2-0 RET",61
"2010-580","Australian Open","ESP",26.18,"6-7(4) 7-6(1) 7-5 6-2",185
"2010-580","Australian Open","UKR",22,"6-3 7-6(3) 4-6 7-6(8)",202
"2010-580","Australian Open","AUT",33.04,"4-6 6-3 5-7 6-1 6-3",193
"2010-580","Australian Open","CRO",25.04,"2-6 1-6 6-4 6-1 6-1",180
"2010-580","Australian Open","ARG",25.81,"6-3 7-6(5) 6-1",135
"2010-580","Australian Open","FRA",29.67,"6-3 7-5 6-4",134
"2010-580","Australian Open","UKR",22.36,"7-6(2) 7-5 6-3",156
"2010-580","Australian Open","RUS",28.63,"6-1 6-0 6-3",91
"2010-580","Australian Open","SRB",22.66,"7-5 6-3 6-2",121
"2010-580","Australian Open","SUI",28.36,"7-6(7) 7-6(3) 4-6 6-3",190
"2010-580","Australian Open","GER",29.55,"6-1 6-2 6-1",80
"2010-580","Australian Open","UZB",23.36,"6-2 6-2 6-0",81
"2010-580","Australian Open","RUS",27.57,"6-7(9) 4-6 7-6(2) 7-6(4) 6-4",293
"2010-580","Australian Open","CZE",26.45,"7-6(2) 7-5 6-1",124
"2010-580","Australian Open","POL",27.68,"6-3 6-3 6-3",101
"2010-580","Australian Open","COL",22.14,"6-4 6-2 6-2",116
"2010-580","Australian Open","FRA",24.76,"6-3 6-4 6-4",111
"2010-580","Australian Open","USA",28.74,"6-1 6-3 6-3",80
"2010-580","Australian Open","SRB",25.57,"6-2 6-4 7-6(3)",166
"2010-580","Australian Open","GER",31.79,"6-7(5) 6-4 6-2 6-1",170
"2010-580","Australian Open","ESP",24.41,"7-6(12) 6-4 2-6 4-6 8-6",216
"2010-580","Australian Open","GER",28.59,"7-6(5) 7-5 7-5",153
"2010-580","Australian Open","COL",26.18,"7-5 6-3 6-1",119
"2010-580","Australian Open","ESP",23.77,"5-7 2-6 6-4 6-4 6-2",201
"2010-580","Australian Open","USA",27.39,"6-1 6-4 6-4",124
"2010-580","Australian Open","BRA",22.05,"6-3 7-5 4-6 6-4",235
"2010-580","Australian Open","ESP",28.33,"6-1 6-4 7-5",109
"2010-580","Australian Open","GER",33.73,"6-3 2-6 6-4 6-3",135
"2010-580","Australian Open","CZE",24.34,"6-0 6-3 6-3",99
"2010-580","Australian Open","KAZ",21.93,"6-2 7-5 7-5",124
"2010-580","Australian Open","TUR",22.61,"6-4 6-3 7-5",159
"2010-580","Australian Open","CHI",29.47,"6-3 6-4 3-6 6-1",138
"2010-580","Australian Open","CRO",21.31,"7-5 7-5 6-3",152
"2010-580","Australian Open","AUS",17.24,"6-3 6-4 6-4",104
"2010-580","Australian Open","RUS",28.3,"6-1 2-6 6-4 6-2",188
"2010-580","Australian Open","SUI",24.81,"6-3 6-3 6-2",110
"2010-580","Australian Open","SRB",23.94,"4-6 6-3 6-1 6-3",182
"2010-580","Australian Open","GER",26.29,"0-6 2-6 6-4 6-2 6-2",154
"2010-580","Australian Open","USA",30.06,"7-5 7-5 6-2",132
"2010-580","Australian Open","ARG",21.32,"6-4 6-4 3-6 6-2",180
"2010-580","Australian Open","GBR",22.68,"6-1 6-1 6-2",97
"2010-580","Australian Open","FRA",32.8,"7-6(2) 7-6(3) 6-3",161
"2010-580","Australian Open","FIN",28.49,"6-2 7-5 6-4",121
"2010-580","Australian Open","FRA",28.89,"6-1 6-7(3) 6-4 4-6 6-3",184
"2010-580","Australian Open","USA",24.73,"6-3 6-3 3-6 5-7 6-4",197
"2010-580","Australian Open","IRL",25.03,"6-4 3-6 6-2 6-1",156
"2010-580","Australian Open","CRO",21.92,"6-4 3-6 6-7(3) 6-1 6-4",237
"2010-580","Australian Open","FRA",23.38,"6-4 6-4 6-4",116
"2010-580","Australian Open","CRO",30.89,"2-6 7-6(5) 6-4 3-6 6-4",236
"2010-580","Australian Open","FRA",28.08,"0-6 6-4 7-6(4) 7-6(2)",231
"2010-580","Australian Open","KAZ",22.49,"6-2 1-6 6-3 6-3",171
"2010-580","Australian Open","CRO",30.84,"6-1 6-2 6-2",89
"2010-580","Australian Open","GER",26.26,"6-1 7-5 6-1",121
"2010-580","Australian Open","USA",24.16,"4-6 6-1 6-4 6-2",155
"2010-580","Australian Open","SVK",22.21,"6-4 6-4 6-0",110
"2010-580","Australian Open","ESP",23.63,"7-6(0) 6-1 6-4",154
"2010-580","Australian Open","SUI",28.45,"6-2 6-3 6-2",99
"2010-580","Australian Open","ESP",29.14,"4-6 6-7(3) 6-2 6-3 6-2",201
"2010-580","Australian Open","AUS",28.9,"7-6(3) 6-4 6-1",120
"2010-580","Australian Open","CYP",24.59,"4-6 3-6 7-6(4) 6-3 6-1",249
"2010-580","Australian Open","ESP",26.18,"6-1 6-2 6-2",109
"2010-580","Australian Open","AUT",33.04,"7-6(4) 6-1 6-2",136
"2010-580","Australian Open","ARG",25.81,"3-6 3-6 7-6(5) 6-1 6-3",206
"2010-580","Australian Open","RUS",28.63,"6-3 6-3 6-0",109
"2010-580","Australian Open","SRB",22.66,"3-6 6-1 6-1 6-3",178
"2010-580","Australian Open","UZB",23.36,"7-5 6-3 6-4",141
"2010-580","Australian Open","RUS",27.57,"6-2 6-1 6-1",91
"2010-580","Australian Open","POL",27.68,"6-4 3-6 6-3 6-1",163
"2010-580","Australian Open","FRA",24.76,"6-4 6-3 6-3",101
"2010-580","Australian Open","GER",31.79,"4-6 6-4 6-3 1-6 6-3",200
"2010-580","Australian Open","ESP",24.41,"6-4 6-2 3-6 4-6 6-3",177
"2010-580","Australian Open","COL",26.18,"6-4 6-1 6-3",113
"2010-580","Australian Open","USA",27.39,"6-3 6-4 6-4",132
"2010-580","Australian Open","ESP",28.33,"6-3 2-6 6-3 6-2",160
"2010-580","Australian Open","KAZ",21.93,"6-4 6-4 7-5",141
"2010-580","Australian Open","CHI",29.47,"6-3 6-4 7-5",112
"2010-580","Australian Open","CRO",21.31,"6-7(6) 6-3 4-6 6-2 6-4",228
"2010-580","Australian Open","SUI",24.81,"6-3 6-2 6-2",111
"2010-580","Australian Open","GER",26.29,"4-6 6-4 7-6(2) 6-1",164
"2010-580","Australian Open","ARG",21.32,"6-4 6-7(3) 5-7 6-3 10-8",257
"2010-580","Australian Open","GBR",22.68,"6-1 6-4 6-3",110
"2010-580","Australian Open","FRA",28.89,"3-6 6-4 5-7 7-6(4) 7-5",231
"2010-580","Australian Open","USA",24.73,"6-3 7-6(4) 7-5",136
"2010-580","Australian Open","FRA",23.38,"6-4 6-4 6-4",110
"2010-580","Australian Open","CRO",30.89,"2-6 6-1 6-3 6-3",137
"2010-580","Australian Open","CRO",30.84,"6-3 3-6 6-2 6-3",153
"2010-580","Australian Open","GER",26.26,"6-4 3-6 6-3 6-2",185
"2010-580","Australian Open","ESP",23.63,"6-2 6-2 6-2",113
"2010-580","Australian Open","SUI",28.45,"6-3 6-4 6-4",108
"2010-580","Australian Open","AUS",28.9,"6-0 4-2 RET",54
"2010-580","Australian Open","ESP",26.18,"6-1 RET",23
"2010-580","Australian Open","RUS",28.63,"6-0 6-3 6-4",109
"2010-580","Australian Open","SRB",22.66,"6-1 6-1 6-2",97
"2010-580","Australian Open","POL",27.68,"W/O",NA
"2010-580","Australian Open","FRA",24.76,"6-4 3-6 6-1 7-5",148
"2010-580","Australian Open","ESP",24.41,"6-4 6-3 6-4",123
"2010-580","Australian Open","USA",27.39,"6-7(4) 6-4 6-4 7-6(3)",212
"2010-580","Australian Open","CHI",29.47,"6-7(5) 6-3 1-6 6-3 6-4",202
"2010-580","Australian Open","CRO",21.31,"4-6 6-4 6-3 6-3",200
"2010-580","Australian Open","ARG",21.32,"6-3 0-6 6-4 7-5",154
"2010-580","Australian Open","GBR",22.68,"7-5 6-1 6-4",112
"2010-580","Australian Open","USA",24.73,"6-1 4-6 7-6(4) 7-6(5)",168
"2010-580","Australian Open","CRO",30.89,"6-3 3-6 6-3 7-6(7)",181
"2010-580","Australian Open","ESP",23.63,"6-4 6-2 2-6 7-5",210
"2010-580","Australian Open","SUI",28.45,"6-2 6-3 6-4",115
"2010-580","Australian Open","RUS",28.63,"6-2 7-5 4-6 6-7(5) 6-3",237
"2010-580","Australian Open","SRB",22.66,"6-1 6-2 7-5",115
"2010-580","Australian Open","FRA",24.76,"6-3 6-4 4-6 6-7(6) 9-7",213
"2010-580","Australian Open","USA",27.39,"6-3 3-6 4-6 7-5 6-2",205
"2010-580","Australian Open","CRO",21.31,"5-7 6-4 7-5 5-7 6-3",278
"2010-580","Australian Open","GBR",22.68,"7-6(4) 6-3 6-2",132
"2010-580","Australian Open","ESP",23.63,"6-4 4-6 6-4 6-4",156
"2010-580","Australian Open","SUI",28.45,"2-6 6-3 6-0 7-5",156
"2010-580","Australian Open","FRA",24.76,"7-6(8) 6-7(5) 1-6 6-3 6-1",232
"2010-580","Australian Open","CRO",21.31,"7-6(4) 6-3 3-6 2-6 6-3",230
"2010-580","Australian Open","GBR",22.68,"6-3 7-6(2) 3-0 RET",150
"2010-580","Australian Open","SUI",28.45,"6-2 6-3 6-2",88
"2010-580","Australian Open","GBR",22.68,"3-6 6-4 6-4 6-2",182
"2010-580","Australian Open","SUI",28.45,"6-3 6-4 7-6(11)",161
"2010-520","Roland Garros","FRA",30.16,"6-4 6-3",75
"2010-520","Roland Garros","FRA",23.38,"6-3 7-6(1)",103
"2010-520","Roland Garros","ESP",24.57,"7-6(5) 6-7(3) 8-6",195
"2010-520","Roland Garros","ESP",24.33,"6-4 3-6 6-3",109
"2010-520","Roland Garros","POR",25.17,"5-6 RET",52
"2010-520","Roland Garros","SVK",20.87,"6-2 5-7 7-5",152
"2010-520","Roland Garros","KAZ",30.91,"6-4 6-4",80
"2010-520","Roland Garros","BRA",21.99,"4-6 6-2 8-6",127
"2010-520","Roland Garros","POR",26.12,"6-4 4-6 7-5",144
"2010-520","Roland Garros","FRA",22.26,"6-3 2-6 7-5",113
"2010-520","Roland Garros","FRA",30.16,"6-3 6-7(3) 6-3",135
"2010-520","Roland Garros","ESP",22.35,"3-6 6-4 6-4",147
"2010-520","Roland Garros","USA",27.61,"7-6(2) 4-6 17-15",227
"2010-520","Roland Garros","AUS",20.94,"7-5 6-3",95
"2010-520","Roland Garros","SVK",22.9,"1-6 6-4 6-0",93
"2010-520","Roland Garros","SRB",24.81,"6-3 6-3",69
"2010-520","Roland Garros","BRA",28.01,"6-1 6-3",73
"2010-520","Roland Garros","ARG",31.46,"6-2 7-6(0)",79
"2010-520","Roland Garros","CRO",22.26,"7-5 7-5",118
"2010-520","Roland Garros","KAZ",22.41,"6-7(8) 6-1 6-3",150
"2010-520","Roland Garros","IND",25.27,"2-6 6-2 6-4",121
"2010-520","Roland Garros","NZL",26.02,"6-3 6-3",69
"2010-520","Roland Garros","FRA",21.9,"6-4 7-6(2)",81
"2010-520","Roland Garros","PAR",33.52,"6-2 0-6 9-7",126
"2010-520","Roland Garros","BRA",25.05,"6-4 7-5",109
"2010-520","Roland Garros","CZE",22.21,"6-2 6-1",69
"2010-520","Roland Garros","ARG",29.4,"7-6(4) 6-4",104
"2010-520","Roland Garros","USA",29.39,"7-6(6) 4-6 6-1",148
"2010-520","Roland Garros","ITA",32.97,"6-4 6-4",82
"2010-520","Roland Garros","RUS",25.25,"6-4 7-6(5)",94
"2010-520","Roland Garros","USA",18.05,"4-6 6-3 6-4",104
"2010-520","Roland Garros","ARG",28.68,"1-6 6-3 9-7",159
"2010-520","Roland Garros","RUS",25,"6-1 7-6(3)",61
"2010-520","Roland Garros","FRA",29.35,"6-3 7-5",72
"2010-520","Roland Garros","USA",26.39,"6-4 6-3",69
"2010-520","Roland Garros","ITA",26.59,"7-6(5) 7-5",109
"2010-520","Roland Garros","ARG",27.59,"7-6(7) 6-4",91
"2010-520","Roland Garros","ESP",30.12,"6-3 6-1",58
"2010-520","Roland Garros","CHI",25.37,"6-4 6-2",77
"2010-520","Roland Garros","USA",31.83,"6-1 6-1",53
"2010-520","Roland Garros","FRA",21.04,"6-2 3-6 6-1",109
"2010-520","Roland Garros","MEX",27.24,"6-4 6-3",67
"2010-520","Roland Garros","FRA",24.68,"5-7 7-5 6-2",134
"2010-520","Roland Garros","GER",27.97,"6-2 6-1",59
"2010-520","Roland Garros","ESP",32.38,"6-7(3) 6-4 6-0",107
"2010-520","Roland Garros","AUT",23.84,"6-3 6-0",63
"2010-520","Roland Garros","LTU",19.92,"6-2 6-4",67
"2010-520","Roland Garros","ROU",28,"7-5 6-3",77
"2010-520","Roland Garros","GER",24.14,"6-3 5-7 6-1",113
"2010-520","Roland Garros","IRL",28.68,"6-4 6-4",87
"2010-520","Roland Garros","CZE",24.83,"6-3 6-1",65
"2010-520","Roland Garros","ARG",27.3,"6-1 1-6 11-9",158
"2010-520","Roland Garros","ESP",30.38,"2-6 6-3 6-4",113
"2010-520","Roland Garros","BEL",22.36,"6-2 6-3",57
"2010-520","Roland Garros","ESP",23.99,"6-4 6-1",56
"2010-520","Roland Garros","SLO",23.65,"6-7(3) 6-4 6-2",122
"2010-520","Roland Garros","ITA",24.62,"6-4 6-2",98
"2010-520","Roland Garros","CZE",29.12,"6-3 6-1",62
"2010-520","Roland Garros","ESP",22.11,"4-6 6-2 6-4",111
"2010-520","Roland Garros","TUR",22.95,"7-5 2-1 RET",62
"2010-520","Roland Garros","GER",24.01,"6-3 6-3",78
"2010-520","Roland Garros","SUI",28.16,"6-2 7-5",84
"2010-520","Roland Garros","RUS",27.09,"2-6 6-2 6-1",112
"2010-520","Roland Garros","ISR",31.8,"7-5 6-3",85
"2010-520","Roland Garros","FRA",30.16,"6-1 6-4",75
"2010-520","Roland Garros","ESP",24.33,"6-3 6-4",83
"2010-520","Roland Garros","SVK",20.87,"6-3 6-3",68
"2010-520","Roland Garros","KAZ",30.91,"6-4 6-7(4) 6-2",151
"2010-520","Roland Garros","FRA",22.26,"7-6(5) 5-7 6-3",131
"2010-520","Roland Garros","FRA",30.16,"2-6 7-6(5) 6-4",135
"2010-520","Roland Garros","USA",27.61,"6-2 6-1",56
"2010-520","Roland Garros","SVK",22.9,"6-7(5) 7-6(5) 9-7",165
"2010-520","Roland Garros","BRA",28.01,"6-2 6-3",86
"2010-520","Roland Garros","CRO",22.26,"6-2 7-5",94
"2010-520","Roland Garros","IND",25.27,"6-1 6-2",72
"2010-520","Roland Garros","FRA",21.9,"6-2 7-6(3)",81
"2010-520","Roland Garros","BRA",25.05,"7-5 6-3",95
"2010-520","Roland Garros","USA",29.39,"6-4 7-6(6)",98
"2010-520","Roland Garros","ITA",32.97,"6-7(10) 6-2 13-11",207
"2010-520","Roland Garros","USA",18.05,"6-7(6) 6-2 6-4",150
"2010-520","Roland Garros","RUS",25,"6-2 6-0",54
"2010-520","Roland Garros","USA",26.39,"4-6 6-3 6-4",125
"2010-520","Roland Garros","ARG",27.59,"7-6(10) 6-4",95
"2010-520","Roland Garros","CHI",25.37,"3-6 7-6(7) 7-5",193
"2010-520","Roland Garros","FRA",21.04,"7-6(3) 5-7 7-5",151
"2010-520","Roland Garros","GER",27.97,"6-3 7-5",89
"2010-520","Roland Garros","AUT",23.84,"7-6(5) 6-3",115
"2010-520","Roland Garros","LTU",19.92,"6-2 3-6 6-0",90
"2010-520","Roland Garros","GER",24.14,"6-2 6-4",93
"2010-520","Roland Garros","ARG",27.3,"6-3 6-1",70
"2010-520","Roland Garros","ESP",30.38,"6-0 7-6(7)",85
"2010-520","Roland Garros","SLO",23.65,"6-4 6-4",69
"2010-520","Roland Garros","ITA",24.62," W/O",NA
"2010-520","Roland Garros","TUR",22.95,"6-3 6-2",67
"2010-520","Roland Garros","GER",24.01,"7-6(6) 7-5",112
"2010-520","Roland Garros","RUS",27.09,"6-2 6-2",51
"2010-520","Roland Garros","ESP",24.33,"1-6 7-5 6-2",135
"2010-520","Roland Garros","KAZ",30.91,"6-2 6-4",83
"2010-520","Roland Garros","FRA",30.16,"4-6 6-4 8-6",144
"2010-520","Roland Garros","USA",27.61,"7-5 6-2",77
"2010-520","Roland Garros","BRA",28.01,"1-6 6-4 6-3",109
"2010-520","Roland Garros","IND",25.27,"6-4 6-1",85
"2010-520","Roland Garros","USA",29.39,"6-2 6-3",66
"2010-520","Roland Garros","ITA",32.97,"6-4 7-6(4)",114
"2010-520","Roland Garros","RUS",25,"7-6(2) 6-4",85
"2010-520","Roland Garros","CHI",25.37,"6-4 3-0 RET",56
"2010-520","Roland Garros","FRA",21.04,"6-1 6-4",59
"2010-520","Roland Garros","AUT",23.84,"3-6 6-4 7-5",149
"2010-520","Roland Garros","GER",24.14,"6-4 6-2",83
"2010-520","Roland Garros","SLO",23.65,"2-6 7-5 6-2",135
"2010-520","Roland Garros","ITA",24.62,"5-7 7-5 6-3",171
"2010-520","Roland Garros","GER",24.01,"6-1 6-4",73
"2010-520","Roland Garros","SUI",28.79,"6-4 6-1 6-2",108
"2010-520","Roland Garros","COL",26.52,"6-1 6-2 6-3",76
"2010-520","Roland Garros","BEL",29.34,"3-6 7-6(4) 6-4 7-5",198
"2010-520","Roland Garros","GER",24.14,"6-1 7-6(5) 6-2",134
"2010-520","Roland Garros","SUI",25.16,"6-1 6-3 6-3",94
"2010-520","Roland Garros","GER",24.3,"4-6 6-3 6-2 6-2",159
"2010-520","Roland Garros","ITA",23,"6-1 3-6 2-6 6-3 6-3",214
"2010-520","Roland Garros","FRA",23.73,"6-3 7-5 6-7(5) 6-2",165
"2010-520","Roland Garros","CRO",21.65,"6-1 3-6 6-3 6-1",136
"2010-520","Roland Garros","ESP",24.79,"6-1 6-1 6-1",78
"2010-520","Roland Garros","ARG",23.03,"7-6(4) 6-3 6-2",127
"2010-520","Roland Garros","FRA",28.42,"6-4 6-2 1-0 RET",102
"2010-520","Roland Garros","ESP",29.49,"6-3 6-3 6-3",122
"2010-520","Roland Garros","GER",24.01,"6-0 6-4 6-3",104
"2010-520","Roland Garros","USA",29.08,"6-3 6-4 7-6(3)",134
"2010-520","Roland Garros","SWE",25.77,"6-0 6-2 6-3",94
"2010-520","Roland Garros","GBR",23.03,"4-6 6-7(5) 6-4 6-2 6-1",244
"2010-520","Roland Garros","ARG",30.73,"6-0 6-4 7-6(4)",142
"2010-520","Roland Garros","ESP",24.11,"3-6 6-3 3-0 RET",114
"2010-520","Roland Garros","CYP",24.93,"6-3 6-4 6-3",106
"2010-520","Roland Garros","USA",25.08,"6-4 6-3 6-2",90
"2010-520","Roland Garros","SUI",28.7,"6-3 3-6 6-3 3-6 6-3",218
"2010-520","Roland Garros","FRA",26.49,"1-6 4-6 6-3 7-6(4) 6-1",196
"2010-520","Roland Garros","CZE",24.68,"7-6(7) 6-3 6-1",151
"2010-520","Roland Garros","RUS",27.91,"6-1 6-0 6-4",96
"2010-520","Roland Garros","SVK",22.55,"4-6 7-6(5) 7-6(4) 6-7(5) 12-10",296
"2010-520","Roland Garros","AUS",22.93,"3-6 6-7(4) 6-2 7-5 9-7",226
"2010-520","Roland Garros","SRB",24.28,"6-4 6-4 6-3",130
"2010-520","Roland Garros","ESP",26.97,"7-5 6-4 6-2",142
"2010-520","Roland Garros","NED",21.68,"6-4 5-7 6-4 6-3",172
"2010-520","Roland Garros","FRA",24.11,"7-6(5) 6-7(4) 6-2 6-4",215
"2010-520","Roland Garros","FRA",25.1,"4-6 6-3 6-2 6-7(2) 7-5",223
"2010-520","Roland Garros","USA",27.73,"6-2 4-6 4-6 7-6(4) 6-3",199
"2010-520","Roland Garros","SLO",23.22,"3-6 6-3 7-5 4-0 RET",174
"2010-520","Roland Garros","RUS",25,"6-2 6-2 6-1",93
"2010-520","Roland Garros","SLO",23.65,"7-6(6) 3-6 7-5 6-3",180
"2010-520","Roland Garros","AUT",29,"7-5 6-2 6-4",126
"2010-520","Roland Garros","FRA",28.34,"6-1 6-2 6-4",117
